Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres
Top Gun: Maverick,(2022),130 min,8.6,78        ,"141,095",-,PG-13,"
Action, Drama            "
Top Gun,(1986),110 min,6.9,50        ,"366,919",$179.80M,PG,"
Action, Drama            "
Fantastic Beasts: The Secrets of Dumbledore,(2022),142 min,6.2,47        ,"88,369",-,PG-13,"
Action, Adventure, Fantasy            "
Everything Everywhere All at Once,(2022),139 min,8.3,81        ,"106,599",-,R,"
Action, Adventure, Comedy            "
Doctor Strange in the Multiverse of Madness,(2022),126 min,7.3,60        ,"201,185",-,PG-13,"
Action, Adventure, Fantasy            "
The Northman,(2022),137 min,7.3,82        ,"117,083",-,R,"
Action, Adventure, Drama            "
Jurassic World Dominion,(2022),146 min,6.0,37        ,"21,568",-,PG-13,"
Action, Adventure, Sci-Fi            "
Chip 'n Dale: Rescue Rangers,(2022),97 min,7.0,66        ,"25,487",-,PG,"
Animation, Adventure, Comedy            "
The Batman,(2022),176 min,7.9,72        ,"506,434",-,PG-13,"
Action, Crime, Drama            "
The Lost City,(2022),112 min,6.2,60        ,"62,791",-,PG-13,"
Action, Adventure, Comedy            "
Morbius,(2022),104 min,5.1,35        ,"75,729",-,PG-13,"
Action, Adventure, Horror            "
Interceptor,(2022),99 min,4.4,51        ,"11,001",-,TV-MA,"
Action, Adventure, Drama            "
X,(II) (2022),105 min,6.6,78        ,"44,866",-,R,"
Horror, Thriller            "
Senior Year,(2022),111 min,5.5,47        ,"29,357",-,R,"
Comedy, Drama            "
Sonic the Hedgehog 2,(2022),122 min,6.6,47        ,"43,872",-,PG,"
Action, Adventure, Comedy            "
Aquaman,(2018),143 min,6.8,55        ,"456,355",$335.06M,PG-13,"
Action, Adventure, Fantasy            "
Death on the Nile,(2022),127 min,6.3,52        ,"115,206",-,PG-13,"
Crime, Drama, Mystery            "
Fantastic Beasts: The Crimes of Grindelwald,(2018),134 min,6.5,52        ,"272,543",$159.56M,PG-13,"
Adventure, Family, Fantasy            "
The Godfather,(1972),175 min,9.2,100        ,"1,792,213",$134.97M,R,"
Crime, Drama            "
Uncharted,(2022),116 min,6.4,45        ,"129,677",-,PG-13,"
Action, Adventure            "
Old,(2021),108 min,5.8,55        ,"104,474",-,PG-13,"
Drama, Horror, Mystery            "
The Rum Diary,(2011),119 min,6.1,56        ,"104,425",$13.10M,R,"
Comedy, Drama            "
The Bad Guys,(2022),100 min,6.9,64        ,"20,303",-,PG,"
Animation, Adventure, Comedy            "
Operation Mincemeat,(2021),128 min,6.6,65        ,"14,322",-,PG-13,"
Drama, War            "
Ghostbusters: Afterlife,(2021),124 min,7.1,45        ,"154,556",-,PG-13,"
Adventure, Comedy, Fantasy            "
Spider-Man: No Way Home,(2021),148 min,8.3,71        ,"651,748",$804.75M,PG-13,"
Action, Adventure, Fantasy            "
Willow,(1988),126 min,7.2,47        ,"112,218",$57.27M,PG,"
Action, Adventure, Drama            "
Goodfellas,(1990),145 min,8.7,90        ,"1,122,586",$46.84M,R,"
Biography, Crime, Drama            "
Ambulance,(2022),136 min,6.1,55        ,"44,904",-,R,"
Action, Crime, Drama            "
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.0,63        ,"1,095,882",$305.41M,PG-13,"
Action, Adventure, Fantasy            "
Jurassic Park,(1993),127 min,8.2,68        ,"952,331",$402.45M,PG-13,"
Action, Adventure, Sci-Fi            "
Fantastic Beasts and Where to Find Them,(2016),132 min,7.2,66        ,"464,528",$234.04M,PG-13,"
Adventure, Family, Fantasy            "
Dune,(2021),155 min,8.0,74        ,"578,121",$108.33M,PG-13,"
Action, Adventure, Drama            "
Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"692,614",$142.50M,R,"
Comedy, Drama            "
The Lincoln Lawyer,(2011),118 min,7.3,63        ,"234,870",$58.01M,R,"
Crime, Drama, Mystery            "
Star Wars: Episode I - The Phantom Menace,(1999),136 min,6.5,51        ,"785,281",$474.54M,PG,"
Action, Adventure, Fantasy            "
Star Wars,(1977),121 min,8.6,90        ,"1,328,185",$322.74M,PG,"
Action, Adventure, Fantasy            "
The Shawshank Redemption,(1994),142 min,9.3,81        ,"2,596,857",$28.34M,R,"
Drama            "
Star Wars: Episode III - Revenge of the Sith,(2005),140 min,7.6,68        ,"769,148",$380.26M,PG-13,"
Action, Adventure, Fantasy            "
The Matrix Resurrections,(2021),148 min,5.7,63        ,"229,462",-,R,"
Action, Sci-Fi            "
No Time to Die,(2021),163 min,7.3,68        ,"360,653",$160.87M,PG-13,"
Action, Adventure, Thriller            "
Forrest Gump,(1994),142 min,8.8,82        ,"2,005,580",$330.25M,PG-13,"
Drama, Romance            "
Charlie and the Chocolate Factory,(2005),115 min,6.7,72        ,"469,608",$206.46M,PG,"
Adventure, Comedy, Family            "
